date,system_id,uid,ts,n_samples,n_spike_frames,hive_exit_v1,hive_return_v1,hive_exit_v3,hive_return_v3,initial_speed_min,start_dist,outward_cos,terminal_speed_min,end_dist,toward_cos,tortuosity
2026-05-14,939,2556550,2026-05-14 10:58:25,229,0,False,True,False,True,0.2837788560657721,0.5112675535449994,-0.627787868780124,0.004751374248575954,0.09012164585852835,-0.21845589246069244,2.2317213021104254
2026-05-14,939,2556554,2026-05-14 10:58:28,112,0,False,False,False,False,0.1601811334553478,0.24188810773648584,-0.3086808850148719,0.16483154719288026,0.2618775778469779,-0.9507160744224513,2.079679209541043
2026-05-14,939,2556567,2026-05-14 10:58:38,357,1,False,False,False,False,0.11360184259068457,0.18236346714216395,-0.6739640036691044,0.26200884164470184,0.5208977573852667,-0.7474368686683147,10.52222375343362
2026-05-14,939,2556568,2026-05-14 10:58:41,188,0,False,False,False,False,0.3127526102912672,1.3190007016460101,0.5999920529531597,0.6987983300280581,0.7427211994342157,-0.14866229728945887,2.359672227284136
2026-05-14,939,2556569,2026-05-14 10:58:42,327,0,False,False,False,False,0.15268585887370612,0.2017356443723651,-0.7440035422415433,0.10050394581806396,0.2884768249218644,-0.4086228239569301,5.670312019152631
2026-05-14,939,2556571,2026-05-14 10:58:44,155,9,False,False,False,False,0.24026871451772952,1.4862617256300752,0.641042625619406,0.4846344939488022,1.276109899978838,0.7282644586387906,7.110689660946354
2026-05-14,939,2556572,2026-05-14 10:58:46,136,0,False,False,False,False,0.07274017201656281,0.29986606715610004,-0.04730877532423167,0.1561838299088564,0.4689407685849035,-0.7768778052184875,1.5240336204122185
2026-05-14,939,2556574,2026-05-14 10:58:47,161,4,False,False,False,False,0.3882067493295326,1.8959166882847347,0.32528297503280584,0.15202165141848198,2.7622082580066265,-0.9042645369899012,2.0861356563289695
2026-05-14,939,2556578,2026-05-14 10:58:51,138,0,False,False,False,True,0.5144110293714469,0.1786771289477195,-0.11292441304828982,0.1286209799118361,0.12349678447507893,0.7067554780360417,8.759710413761768
2026-05-14,939,2556581,2026-05-14 10:58:53,133,0,False,False,False,False,0.24347422063914967,0.23259940727387937,0.3810042026797952,0.4043052521610413,0.8113622170011369,-0.7027366293804467,1.7162885953023699
2026-05-14,939,2556583,2026-05-14 10:58:54,204,1,False,False,False,False,0.48608424102309883,0.7835740392185171,0.39478244013318703,0.1962884416490132,1.1705461310537915,0.7365044772895769,2.02900232497636
2026-05-14,939,2556589,2026-05-14 10:59:50,197,0,True,False,False,False,0.15505432273883765,0.08905573002838664,-0.7886540169083058,0.10183345226397815,0.4341877753783495,-0.5455920559004132,1.7382354160137619
2026-05-14,939,2556601,2026-05-14 11:01:10,144,1,False,False,False,False,0.6618829066269948,0.9127149365358034,-0.9897377311794658,0.6693058453353109,0.8941450176280132,-0.9976077501025564,1.5469958800239736
2026-05-14,939,2556606,2026-05-14 11:01:20,650,1,True,False,True,False,0.006478981697778289,0.049062349726490276,-0.8329202484089147,0.36202159756014585,1.0396453085014141,-0.9946306599094138,3.016345126252984
